name,state,population,lat,lon,pleasant
aurora,il,200661,41.763455,-88.290099,0.057534246575342465
montgomery,al,200602,32.347174,-86.266114,0.14560439560439561
columbus,ga,200579,32.510197,-84.874946,0.16986301369863013
amarillo,tx,198645,35.197839,-101.828746,0.06027397260273973
little rock,ar,197992,34.725432,-92.358556,0.0821917808219178
akron,oh,197542,41.080456,-81.521429,0.07945205479452055
shreveport,la,197204,32.466879,-93.792193,0.09315068493150686
grand rapids,mi,195097,42.961156,-85.65557,0.06027397260273973
mobile,al,194288,30.668426,-88.100226,0
huntsville,al,190582,34.699013,-86.67298,0.15342465753424658
tallahassee,fl,189907,30.455108,-84.253419,0.16712328767123288
grand prairie,tx,187809,32.684159,-97.021002,0.1813186813186813
overland park,ks,186515,38.889042,-94.690584,0.1178082191780822
knoxville,tn,185291,35.97068,-83.94927,0.14520547945205478
worcester,ma,184815,42.269478,-71.807783,0.06043956043956044
brownsville,tx,183887,25.998729,-97.454928,0.17534246575342466
newport news,va,182385,37.076166,-76.521968,0.1506849315068493
santa clarita,ca,182371,34.402997,-118.504166,0.0684931506849315
port st. lucie,fl,179413,27.280951,-80.383762,0.6657534246575343
providence,ri,179207,41.823056,-71.418784,0
fort lauderdale,fl,178590,26.141227,-80.146731,0.7403314917127072
chattanooga,tn,176588,35.064185,-85.248807,0.14246575342465753
tempe,az,175826,33.388414,-111.931782,0.057692307692307696
oceanside,ca,175691,33.224595,-117.306228,0.1589041095890411
garden grove,ca,175393,33.778782,-117.960472,0.15342465753424658
rancho cucamonga,ca,175236,34.123315,-117.564207,0.0547945205479452
cape coral,fl,175229,26.643192,-81.997364,0
santa rosa,ca,174972,38.446816,-122.706136,0
vancouver,wa,172860,45.634918,-122.595734,0.005479452054794521
sioux falls,sd,171544,43.538335,-96.731998,0.06575342465753424
peoria,az,171237,33.786196,-112.308015,0.0547945205479452
ontario,ca,171214,34.039438,-117.604215,0.0547945205479452
jackson,ms,170674,32.315831,-90.212823,0.16164383561643836
elk grove,ca,166913,38.414621,-121.384961,0.0027397260273972603
springfield,mo,166810,37.194152,-93.291305,0.10684931506849316
pembroke pines,fl,166611,26.021034,-80.340397,0.39452054794520547
salem,or,164549,44.923712,-123.023189,0
corona,ca,164226,33.862352,-117.563857,0.025423728813559324
eugene,or,163460,44.056748,-123.116207,0
mckinney,tx,162898,33.198482,-96.668022,0.07671232876712329
fort collins,co,161175,40.548216,-105.064833,0.005479452054794521
lancaster,ca,161103,34.693558,-118.175305,0.03287671232876712
cary,nc,159769,35.780878,-78.813274,0.14246575342465753
palmdale,ca,158351,34.591316,-118.109001,0.03287671232876712
hayward,ca,158289,37.628139,-122.106341,0.0027397260273972603
salinas,ca,157380,36.690182,-121.633714,0
frisco,tx,154407,33.155432,-96.8226,0.1917808219178082
springfield,ma,154341,42.115454,-72.539978,0.0273972602739726
pasadena,tx,153784,29.658556,-95.150564,0.3452054794520548
alexandria,va,153511,38.820071,-77.084063,0.15342465753424658
pomona,ca,153266,34.058494,-117.761091,0.23822714681440443
lakewood,co,152597,39.698942,-105.117551,0.005479452054794521
sunnyvale,ca,151754,37.385797,-122.026316,0.008310249307479225
escondido,ca,151451,33.133053,-117.074043,0.019178082191780823
hollywood,fl,149728,26.030967,-80.164609,0.4821917808219178
clarksville,tn,149176,36.56643,-87.345216,0.12876712328767123
torrance,ca,148475,33.834966,-118.341431,0.4257142857142857
rockford,il,148278,42.258836,-89.064553,0.06027397260273973
joliet,il,147861,41.520244,-88.148318,0.07123287671232877
paterson,nj,147754,40.914766,-74.162829,0.07123287671232877
bridgeport,ct,147629,41.187393,-73.195757,0
naperville,il,147100,41.749173,-88.162019,0.0821917808219178
savannah,ga,145674,32.002512,-81.153557,0.21095890410958903
mesquite,tx,144788,32.762883,-96.588768,0.12876712328767123
syracuse,ny,144142,43.040998,-76.143554,0.06027397260273973
pasadena,ca,142250,34.160592,-118.139593,0.35082872928176795
